ID,Full Name,Gender,Date of Birth,Checkout Date,Purpose,SOURCE,Overall Experience,NPS RATING,NPS CATEGORY,Feedback,Feedback Category,Rating,Rating Range
21,Guest 00021,Female,10-03-1998,12-12-2020,Business,Organization,3,8,Passives,Food quality,Restaurant,Poor,1
22,Guest 00022,Female,21-02-1980,22-04-2021,Other,Word of mouth,5,5,Detractors,Variety of food,Restaurant,Poor,1
23,Guest 00023,Male,28-03-1970,13-02-2022,Vacation,Internet advertisement,5,9,Promoters,Broadband & TV,Facility,Good,3
24,Guest 00024,Male,31-03-1952,19-02-2020,Vacation,Organization,3,9,Promoters,Gym,Facility,Very good,4
25,Guest 00025,Male,01-06-1973,27-01-2021,Vacation,Search engine,5,9,Promoters,Staff attitude,Staff,Good,3
26,Guest 00026,Male,05-05-1981,11-06-2021,Vacation,hotel booking sites,2,4,Detractors,Check-in Process,Staff,Very good,4
27,Guest 00027,Male,28-01-1956,22-11-2022,Business,Organization,3,8,Passives,Room service,Room,Good,3
28,Guest 00028,Male,19-09-1962,19-01-2021,Function,Television advertisement,1,9,Promoters,Room cleanliness,Room,Poor,1
29,Guest 00029,Female,18-09-1958,08-05-2022,Vacation,Word of mouth,3,9,Promoters,Food quality,Restaurant,Average,2
30,Guest 00030,Male,26-11-1998,25-07-2020,Business,Organization,5,8,Passives,Variety of food,Restaurant,Poor,1
31,Guest 00031,Male,10-08-1996,17-08-2020,Vacation,Search engine,3,10,Promoters,Broadband & TV,Facility,Poor,1
32,Guest 00032,Male,22-05-1999,14-06-2021,Function,Word of mouth,2,8,Passives,Gym,Facility,Excellent,5
33,Guest 00033,Female,26-04-1965,01-01-2022,Business,Organization,1,9,Promoters,Staff attitude,Staff,Excellent,5
34,Guest 00034,Male,06-07-1961,08-12-2021,Vacation,Internet advertisement,1,4,Detractors,Check-in Process,Staff,Excellent,5
35,Guest 00035,Female,07-01-2003,29-05-2020,Business,Organization,3,8,Passives,Room service,Room,Very good,4
36,Guest 00036,Female,14-01-1987,11-07-2020,Business,hotel booking sites,4,9,Promoters,Room cleanliness,Room,Average,2
37,Guest 00037,Male,09-10-1954,10-08-2022,Business,Organization,2,7,Passives,Food quality,Restaurant,Good,3
38,Guest 00038,Male,02-08-1960,13-03-2020,Function,Organization,3,9,Promoters,Variety of food,Restaurant,Average,2
39,Guest 00039,Female,22-10-1985,20-11-2022,Business,Organization,4,5,Detractors,Broadband & TV,Facility,Excellent,5
40,Guest 00040,Male,26-12-2004,03-07-2022,Function,Television advertisement,5,9,Promoters,Gym,Facility,Good,3
41,Guest 00041,Female,22-11-1956,15-05-2021,Business,Organization,5,8,Passives,Staff attitude,Staff,Excellent,5
42,Guest 00042,Male,16-01-1978,16-06-2022,Business,Organization,4,9,Promoters,Check-in Process,Staff,Good,3
43,Guest 00043,Female,08-12-1984,25-04-2020,Business,Organization,3,9,Promoters,Room service,Room,Very good,4
44,Guest 00044,Male,14-01-2001,14-02-2022,Business,Organization,1,3,Detractors,Room cleanliness,Room,Good,3
45,Guest 00045,Female,08-02-1968,21-07-2020,Vacation,Internet advertisement,4,9,Promoters,Food quality,Restaurant,Poor,1
46,Guest 00046,Male,17-06-1975,11-11-2022,Function,Search engine,4,9,Promoters,Variety of food,Restaurant,Poor,1
47,Guest 00047,Male,02-08-1973,28-04-2022,Business,Organization,3,10,Promoters,Broadband & TV,Facility,Excellent,5
48,Guest 00048,Male,25-02-1951,20-06-2020,Vacation,hotel booking sites,5,9,Promoters,Gym,Facility,Excellent,5
49,Guest 00049,Male,15-04-1990,10-08-2022,Business,Organization,5,9,Promoters,Staff attitude,Staff,Very good,4
50,Guest 00050,Male,15-01-1996,25-04-2020,Business,hotel booking sites,3,9,Promoters,Check-in Process,Staff,Very good,4
51,Guest 00051,Male,11-06-1961,30-01-2022,Function,Television advertisement,5,4,Detractors,Room service,Room,Good,3
52,Guest 00052,Male,21-06-1978,11-10-2020,Function,Word of mouth,3,7,Passives,Room cleanliness,Room,Poor,1
53,Guest 00053,Male,17-07-1985,30-03-2022,Business,Organization,3,9,Promoters,Food quality,Restaurant,Poor,1
54,Guest 00054,Female,27-01-1970,14-03-2022,Function,Search engine,5,10,Promoters,Variety of food,Restaurant,Poor,1
55,Guest 00055,Male,31-03-1991,12-12-2021,Business,Organization,5,3,Detractors,Broadband & TV,Facility,Excellent,5
56,Guest 00056,Male,26-12-1972,22-03-2022,Business,Organization,4,9,Promoters,Gym,Facility,Very good,4
57,Guest 00057,Male,24-12-1996,11-01-2022,Business,Organization,5,9,Promoters,Staff attitude,Staff,Good,3
58,Guest 00058,Male,28-10-1991,19-11-2020,Function,Television advertisement,1,6,Detractors,Check-in Process,Staff,Excellent,5
59,Guest 00059,Male,04-08-1963,22-07-2020,Vacation,Word of mouth,5,8,Passives,Room service,Room,Good,3
60,Guest 00060,Female,26-06-1978,25-07-2020,Business,Organization,5,4,Detractors,Room cleanliness,Room,Average,2
61,Guest 00061,Female,29-11-1990,21-07-2022,Business,Organization,3,6,Detractors,Food quality,Restaurant,Excellent,5
62,Guest 00062,Female,25-12-1964,14-10-2020,Function,News paper,2,6,Detractors,Variety of food,Restaurant,Very good,4
63,Guest 00063,Male,20-10-1957,02-08-2021,Vacation,hotel booking sites,5,7,Passives,Broadband & TV,Facility,Excellent,5
64,Guest 00064,Female,24-05-1998,18-08-2021,Vacation,Word of mouth,4,9,Promoters,Gym,Facility,Very good,4
65,Guest 00065,Female,26-04-1974,04-03-2022,Function,Word of mouth,4,8,Passives,Staff attitude,Staff,Good,3
66,Guest 00066,Female,20-03-1959,11-07-2020,Vacation,hotel booking sites,3,8,Passives,Check-in Process,Staff,Very good,4
67,Guest 00067,Female,07-04-1965,13-01-2021,Business,Search engine,2,9,Promoters,Room service,Room,Average,2
68,Guest 00068,Female,31-08-1951,28-01-2021,Business,Search engine,4,9,Promoters,Room cleanliness,Room,Good,3
69,Guest 00069,Female,21-08-1955,06-11-2021,Function,Organization,5,9,Promoters,Food quality,Restaurant,Average,2
70,Guest 00070,Male,10-12-1968,26-07-2022,Vacation,hotel booking sites,3,9,Promoters,Variety of food,Restaurant,Poor,1
71,Guest 00071,Male,02-11-1999,30-05-2021,Other,Word of mouth,5,9,Promoters,Broadband & TV,Facility,Good,3
72,Guest 00072,Male,04-10-1995,19-03-2020,Function,Television advertisement,2,6,Detractors,Gym,Facility,Good,3
73,Guest 00073,Male,01-08-1952,12-09-2021,Business,Organization,4,9,Promoters,Staff attitude,Staff,Very good,4
74,Guest 00074,Male,13-11-1984,27-11-2021,Business,Organization,4,4,Detractors,Check-in Process,Staff,Excellent,5
75,Guest 00075,Male,24-12-1988,30-10-2020,Vacation,hotel booking sites,3,6,Detractors,Room service,Room,Very good,4
76,Guest 00076,Male,02-08-1952,05-09-2020,Function,Word of mouth,5,8,Passives,Room cleanliness,Room,Poor,1
77,Guest 00077,Male,11-06-1965,25-03-2021,Business,Organization,5,9,Promoters,Food quality,Restaurant,Excellent,5
78,Guest 00078,Male,04-11-1985,25-06-2021,Business,hotel booking sites,3,5,Detractors,Variety of food,Restaurant,Poor,1
79,Guest 00079,Male,29-09-1951,13-09-2022,Business,Organization,5,6,Detractors,Broadband & TV,Facility,Poor,1
80,Guest 00080,Male,29-06-1984,03-06-2020,Business,Organization,5,7,Passives,Gym,Facility,Average,2
81,Guest 00081,Male,14-09-1958,28-09-2021,Function,Search engine,4,9,Promoters,Staff attitude,Staff,Good,3
82,Guest 00082,Male,31-12-1953,09-11-2021,Vacation,Search engine,5,9,Promoters,Check-in Process,Staff,Very good,4
83,Guest 00083,Male,15-11-1953,12-11-2020,Business,Organization,3,8,Passives,Room service,Room,Good,3
84,Guest 00084,Male,23-04-1985,18-07-2022,Function,hotel booking sites,2,9,Promoters,Room cleanliness,Room,Very good,4
85,Guest 00085,Male,28-01-1982,07-01-2021,Business,Organization,2,9,Promoters,Food quality,Restaurant,Very good,4
86,Guest 00086,Male,19-07-1970,08-04-2020,Vacation,hotel booking sites,5,6,Detractors,Variety of food,Restaurant,Average,2
87,Guest 00087,Female,12-07-2000,17-09-2021,Vacation,Television advertisement,5,7,Passives,Broadband & TV,Facility,Average,2
88,Guest 00088,Male,09-11-1981,20-05-2021,Vacation,Word of mouth,5,9,Promoters,Gym,Facility,Average,2
89,Guest 00089,Female,20-03-1986,13-06-2022,Business,Word of mouth,4,7,Passives,Staff attitude,Staff,Very good,4
90,Guest 00090,Male,27-11-1984,04-09-2020,Function,Word of mouth,4,7,Passives,Check-in Process,Staff,Very good,4
91,Guest 00091,Male,26-01-1991,05-10-2020,Vacation,Word of mouth,4,9,Promoters,Room service,Room,Very good,4
92,Guest 00092,Female,02-11-2000,27-06-2021,Vacation,hotel booking sites,4,9,Promoters,Room cleanliness,Room,Excellent,5
93,Guest 00093,Female,30-10-1959,16-10-2021,Vacation,hotel booking sites,3,6,Detractors,Food quality,Restaurant,Average,2
94,Guest 00094,Female,24-11-2005,17-07-2022,Function,Organization,3,8,Passives,Variety of food,Restaurant,Poor,1
95,Guest 00095,Male,03-03-1956,04-09-2022,Vacation,Search engine,2,10,Promoters,Broadband & TV,Facility,Excellent,5
96,Guest 00096,Female,18-11-1968,07-12-2022,Vacation,hotel booking sites,3,9,Promoters,Gym,Facility,Good,3
97,Guest 00097,Female,03-12-1992,06-05-2021,Vacation,Search engine,5,9,Promoters,Staff attitude,Staff,Very good,4
98,Guest 00098,Female,05-07-1951,05-04-2021,Vacation,hotel booking sites,5,9,Promoters,Check-in Process,Staff,Very good,4
99,Guest 00099,Female,04-11-1967,23-11-2022,Business,Organization,2,9,Promoters,Room service,Room,Very good,4
100,Guest 00100,Male,11-10-1965,10-10-2021,Business,Organization,3,9,Promoters,Room cleanliness,Room,Very good,4
101,Guest 00101,Male,01-01-1985,25-10-2022,Business,Organization,2,4,Detractors,Food quality,Restaurant,Very good,4
102,Guest 00102,Male,22-12-1987,06-04-2021,Vacation,Word of mouth,3,4,Detractors,Variety of food,Restaurant,Poor,1
103,Guest 00103,Female,24-01-1987,05-11-2022,Business,Organization,5,8,Passives,Broadband & TV,Facility,Good,3
104,Guest 00104,Male,28-06-1956,05-06-2022,Vacation,Word of mouth,2,5,Detractors,Gym,Facility,Good,3
105,Guest 00105,Male,03-07-1962,27-02-2021,Function,Television advertisement,4,4,Detractors,Staff attitude,Staff,Average,2
106,Guest 00106,Female,16-04-1985,28-12-2020,Business,hotel booking sites,5,9,Promoters,Check-in Process,Staff,Average,2
107,Guest 00107,Female,22-04-1958,25-11-2020,Function,Word of mouth,5,4,Detractors,Room service,Room,Excellent,5
108,Guest 00108,Female,26-04-1984,06-07-2022,Vacation,Television advertisement,4,8,Passives,Room cleanliness,Room,Average,2
109,Guest 00109,Female,28-12-1993,24-12-2020,Function,Search engine,5,9,Promoters,Food quality,Restaurant,Poor,1
110,Guest 00110,Female,08-04-1976,01-06-2021,Business,Organization,3,9,Promoters,Variety of food,Restaurant,Poor,1
111,Guest 00111,Male,10-10-2004,22-12-2021,Business,Organization,3,9,Promoters,Broadband & TV,Facility,Average,2
112,Guest 00112,Male,10-03-1979,14-03-2020,Vacation,Internet advertisement,5,8,Passives,Gym,Facility,Good,3
113,Guest 00113,Male,14-03-2006,04-09-2020,Business,Organization,5,9,Promoters,Staff attitude,Staff,Poor,1
114,Guest 00114,Female,24-01-1966,29-06-2022,Vacation,Internet advertisement,3,9,Promoters,Check-in Process,Staff,Average,2
115,Guest 00115,Female,28-03-1958,23-04-2020,Vacation,Word of mouth,4,9,Promoters,Room service,Room,Good,3
116,Guest 00116,Female,19-03-1966,26-03-2021,Business,Internet advertisement,4,8,Passives,Room cleanliness,Room,Very good,4
117,Guest 00117,Male,06-07-1998,05-01-2022,Business,Organization,4,9,Promoters,Food quality,Restaurant,Excellent,5
118,Guest 00118,Male,20-08-2001,14-01-2021,Vacation,hotel booking sites,5,5,Detractors,Variety of food,Restaurant,Poor,1
119,Guest 00119,Female,27-04-2002,27-06-2021,Other,hotel booking sites,5,8,Passives,Broadband & TV,Facility,Excellent,5
120,Guest 00120,Female,05-04-1987,26-03-2022,Vacation,Television advertisement,2,10,Promoters,Gym,Facility,Average,2
121,Guest 00121,Female,02-05-2001,05-06-2020,Business,Organization,4,7,Passives,Staff attitude,Staff,Average,2
122,Guest 00122,Male,02-10-1976,27-01-2021,Vacation,Internet advertisement,4,9,Promoters,Check-in Process,Staff,Average,2
123,Guest 00123,Female,12-07-1953,23-01-2022,Business,Organization,4,7,Passives,Room service,Room,Average,2
124,Guest 00124,Male,19-03-1995,08-10-2022,Business,Organization,2,8,Passives,Room cleanliness,Room,Very good,4
125,Guest 00125,Male,20-02-1984,12-08-2020,Vacation,Internet advertisement,4,4,Detractors,Food quality,Restaurant,Excellent,5
126,Guest 00126,Female,09-10-1996,11-10-2020,Business,Search engine,4,6,Detractors,Variety of food,Restaurant,Poor,1
127,Guest 00127,Male,29-05-1966,22-02-2022,Function,Television advertisement,4,9,Promoters,Broadband & TV,Facility,Good,3
128,Guest 00128,Male,21-09-1971,10-10-2022,Business,Organization,5,7,Passives,Gym,Facility,Very good,4
129,Guest 00129,Male,06-11-1966,10-08-2021,Vacation,Word of mouth,2,4,Detractors,Staff attitude,Staff,Very good,4
130,Guest 00130,Female,19-09-1951,18-09-2021,Business,Organization,3,7,Passives,Check-in Process,Staff,Excellent,5
131,Guest 00131,Male,05-10-1960,23-04-2022,Function,Search engine,2,4,Detractors,Room service,Room,Good,3
132,Guest 00132,Male,10-09-1968,08-10-2021,Business,Organization,1,9,Promoters,Room cleanliness,Room,Excellent,5
133,Guest 00133,Female,15-08-2004,23-02-2022,Function,Word of mouth,3,9,Promoters,Food quality,Restaurant,Good,3
134,Guest 00134,Female,06-08-2004,30-06-2021,Function,Television advertisement,1,9,Promoters,Variety of food,Restaurant,Good,3
135,Guest 00135,Male,09-05-1995,30-10-2022,Business,Organization,1,5,Detractors,Broadband & TV,Facility,Excellent,5
136,Guest 00136,Female,15-05-1986,19-06-2021,Business,Organization,4,4,Detractors,Gym,Facility,Good,3
137,Guest 00137,Female,26-05-1974,08-11-2021,Vacation,Television advertisement,5,9,Promoters,Staff attitude,Staff,Excellent,5
138,Guest 00138,Female,27-10-1953,13-07-2020,Business,Organization,3,9,Promoters,Check-in Process,Staff,Very good,4
139,Guest 00139,Female,15-03-1989,08-04-2021,Business,Organization,4,9,Promoters,Room service,Room,Very good,4
140,Guest 00140,Male,10-09-1970,08-05-2021,Business,hotel booking sites,5,4,Detractors,Room cleanliness,Room,Good,3
141,Guest 00141,Male,26-11-1976,17-04-2020,Vacation,News paper,4,9,Promoters,Food quality,Restaurant,Good,3
142,Guest 00142,Female,22-10-1990,06-01-2020,Function,News paper,4,10,Promoters,Variety of food,Restaurant,Poor,1
143,Guest 00143,Female,27-06-1994,29-06-2022,Business,Organization,4,10,Promoters,Broadband & TV,Facility,Poor,1
144,Guest 00144,Female,22-12-1998,04-10-2021,Business,Organization,5,9,Promoters,Gym,Facility,Poor,1
145,Guest 00145,Male,22-05-1971,28-05-2022,Business,Word of mouth,3,4,Detractors,Staff attitude,Staff,Good,3
146,Guest 00146,Female,16-01-1972,04-03-2022,Function,Search engine,5,4,Detractors,Check-in Process,Staff,Very good,4
147,Guest 00147,Female,10-04-1962,26-10-2022,Vacation,Television advertisement,3,3,Detractors,Room service,Room,Excellent,5
148,Guest 00148,Male,28-12-1984,29-10-2021,Business,Word of mouth,4,9,Promoters,Room cleanliness,Room,Poor,1
149,Guest 00149,Female,04-10-1958,26-07-2020,Vacation,Search engine,4,9,Promoters,Food quality,Restaurant,Good,3
150,Guest 00150,Male,10-04-1967,08-08-2022,Business,Organization,5,10,Promoters,Variety of food,Restaurant,Average,2
151,Guest 00151,Male,12-11-1954,18-01-2021,Business,Organization,3,10,Promoters,Broadband & TV,Facility,Excellent,5
152,Guest 00152,Male,19-06-1973,15-10-2022,Function,Word of mouth,5,8,Passives,Gym,Facility,Very good,4
153,Guest 00153,Female,26-04-1988,13-09-2022,Function,Word of mouth,3,6,Detractors,Staff attitude,Staff,Average,2
154,Guest 00154,Male,02-09-1961,25-09-2022,Function,Search engine,5,8,Passives,Check-in Process,Staff,Average,2
155,Guest 00155,Male,04-01-1986,15-10-2021,Other,Organization,2,8,Passives,Room service,Room,Good,3
156,Guest 00156,Female,13-02-1954,09-12-2020,Business,Organization,1,9,Promoters,Room cleanliness,Room,Good,3
157,Guest 00157,Male,12-12-1992,08-05-2022,Function,Television advertisement,5,10,Promoters,Food quality,Restaurant,Very good,4
158,Guest 00158,Male,29-07-1997,02-10-2021,Function,Word of mouth,2,8,Passives,Variety of food,Restaurant,Very good,4
159,Guest 00159,Male,19-03-1953,02-03-2020,Vacation,hotel booking sites,4,5,Detractors,Broadband & TV,Facility,Very good,4
160,Guest 00160,Male,30-10-1963,07-07-2021,Function,Organization,4,9,Promoters,Gym,Facility,Average,2
161,Guest 00161,Male,02-12-1987,18-06-2021,Business,Organization,4,10,Promoters,Staff attitude,Staff,Poor,1
162,Guest 00162,Male,07-08-1991,12-05-2022,Function,Search engine,3,9,Promoters,Check-in Process,Staff,Good,3
163,Guest 00163,Female,15-02-1987,02-06-2022,Function,Search engine,4,7,Passives,Room service,Room,Very good,4
164,Guest 00164,Male,06-09-1963,06-02-2020,Vacation,Search engine,4,5,Detractors,Room cleanliness,Room,Good,3
165,Guest 00165,Male,21-06-1965,19-11-2020,Business,Organization,4,7,Passives,Food quality,Restaurant,Excellent,5
166,Guest 00166,Male,20-08-2004,01-08-2021,Business,hotel booking sites,5,9,Promoters,Variety of food,Restaurant,Average,2
167,Guest 00167,Male,05-04-1977,16-08-2020,Business,Organization,3,7,Passives,Broadband & TV,Facility,Good,3
168,Guest 00168,Male,15-05-1982,10-01-2022,Vacation,hotel booking sites,5,4,Detractors,Gym,Facility,Good,3
169,Guest 00169,Male,04-09-1991,09-02-2021,Business,Organization,4,9,Promoters,Staff attitude,Staff,Excellent,5
170,Guest 00170,Male,19-09-1979,15-07-2020,Vacation,hotel booking sites,5,6,Detractors,Check-in Process,Staff,Excellent,5
171,Guest 00171,Female,24-11-1993,15-08-2022,Vacation,News paper,3,9,Promoters,Room service,Room,Good,3
172,Guest 00172,Female,30-06-1983,17-01-2021,Business,Organization,4,9,Promoters,Room cleanliness,Room,Poor,1
173,Guest 00173,Male,13-04-1994,18-08-2022,Business,Organization,4,3,Detractors,Food quality,Restaurant,Poor,1
174,Guest 00174,Female,13-09-1951,08-05-2020,Function,Television advertisement,3,7,Passives,Variety of food,Restaurant,Average,2
175,Guest 00175,Male,24-01-1973,23-03-2020,Vacation,Word of mouth,2,8,Passives,Broadband & TV,Facility,Excellent,5
176,Guest 00176,Female,30-06-1980,02-07-2022,Function,Organization,1,9,Promoters,Gym,Facility,Poor,1
177,Guest 00177,Female,14-01-1968,03-12-2021,Business,Organization,5,9,Promoters,Staff attitude,Staff,Very good,4
178,Guest 00178,Female,27-06-2000,23-01-2021,Business,Organization,3,8,Passives,Check-in Process,Staff,Very good,4
179,Guest 00179,Male,11-03-1982,14-10-2021,Business,Organization,3,9,Promoters,Room service,Room,Average,2
180,Guest 00180,Female,03-07-1951,20-06-2021,Vacation,Word of mouth,4,8,Passives,Room cleanliness,Room,Excellent,5
181,Guest 00181,Male,11-11-2003,07-03-2022,Business,Organization,5,3,Detractors,Food quality,Restaurant,Very good,4
182,Guest 00182,Male,23-02-2005,14-08-2022,Other,Word of mouth,2,7,Passives,Variety of food,Restaurant,Average,2
183,Guest 00183,Male,08-11-1973,19-07-2022,Function,Television advertisement,5,7,Passives,Broadband & TV,Facility,Average,2
184,Guest 00184,Female,01-10-1977,16-08-2022,Business,Organization,5,8,Passives,Gym,Facility,Good,3
185,Guest 00185,Male,09-02-1970,05-07-2020,Business,Organization,5,7,Passives,Staff attitude,Staff,Excellent,5
186,Guest 00186,Male,10-06-1956,04-04-2021,Vacation,hotel booking sites,5,7,Passives,Check-in Process,Staff,Good,3
187,Guest 00187,Female,24-07-1982,12-08-2021,Vacation,Television advertisement,2,9,Promoters,Room service,Room,Excellent,5
188,Guest 00188,Male,27-03-1967,02-07-2022,Business,Word of mouth,5,7,Passives,Room cleanliness,Room,Good,3
189,Guest 00189,Male,09-12-1988,05-01-2020,Business,Word of mouth,2,9,Promoters,Food quality,Restaurant,Excellent,5
190,Guest 00190,Female,28-12-2005,25-02-2020,Function,Television advertisement,4,8,Passives,Variety of food,Restaurant,Average,2
191,Guest 00191,Female,06-02-1973,01-12-2020,Business,Word of mouth,1,8,Passives,Broadband & TV,Facility,Poor,1
192,Guest 00192,Male,09-08-1957,13-03-2022,Business,Organization,3,9,Promoters,Gym,Facility,Poor,1
193,Guest 00193,Male,29-11-1962,22-09-2022,Vacation,News paper,5,8,Passives,Staff attitude,Staff,Excellent,5
194,Guest 00194,Male,03-07-1973,12-10-2021,Vacation,Internet advertisement,1,7,Passives,Check-in Process,Staff,Good,3
195,Guest 00195,Male,07-12-2000,02-08-2020,Business,Organization,5,7,Passives,Room service,Room,Good,3
196,Guest 00196,Male,15-03-1960,24-07-2020,Vacation,hotel booking sites,5,3,Detractors,Room cleanliness,Room,Average,2
197,Guest 00197,Male,23-04-1960,26-09-2020,Business,Organization,5,10,Promoters,Food quality,Restaurant,Good,3
198,Guest 00198,Male,11-12-1987,22-10-2022,Function,Word of mouth,5,5,Detractors,Variety of food,Restaurant,Average,2
199,Guest 00199,Male,07-04-1971,26-08-2022,Function,Search engine,4,8,Passives,Broadband & TV,Facility,Very good,4
200,Guest 00200,Male,13-09-1995,21-08-2021,Function,Word of mouth,5,10,Promoters,Gym,Facility,Excellent,5
201,Guest 00201,Male,04-05-2001,16-06-2020,Function,Word of mouth,5,9,Promoters,Staff attitude,Staff,Average,2
202,Guest 00202,Male,05-10-1957,23-07-2021,Business,Organization,1,9,Promoters,Check-in Process,Staff,Average,2
203,Guest 00203,Female,20-05-2006,18-09-2020,Function,Word of mouth,5,4,Detractors,Room service,Room,Good,3
204,Guest 00204,Male,01-05-1996,03-07-2021,Business,Organization,5,7,Passives,Room cleanliness,Room,Very good,4
205,Guest 00205,Male,06-10-1961,30-12-2021,Business,Search engine,5,8,Passives,Food quality,Restaurant,Excellent,5
206,Guest 00206,Male,22-04-1979,28-10-2021,Function,News paper,2,10,Promoters,Variety of food,Restaurant,Good,3
207,Guest 00207,Male,14-02-2005,18-01-2021,Other,Search engine,4,6,Detractors,Broadband & TV,Facility,Very good,4
208,Guest 00208,Female,13-11-1963,08-03-2022,Vacation,Television advertisement,5,9,Promoters,Gym,Facility,Poor,1
209,Guest 00209,Female,22-06-2006,16-10-2021,Business,Organization,5,9,Promoters,Staff attitude,Staff,Very good,4
210,Guest 00210,Male,15-03-1995,17-08-2020,Vacation,Search engine,2,7,Passives,Check-in Process,Staff,Excellent,5
211,Guest 00211,Male,21-08-1971,06-09-2020,Business,Organization,5,7,Passives,Room service,Room,Very good,4
212,Guest 00212,Male,04-12-2000,15-03-2022,Function,Word of mouth,5,3,Detractors,Room cleanliness,Room,Excellent,5
213,Guest 00213,Female,09-08-1995,07-02-2020,Business,Organization,1,4,Detractors,Food quality,Restaurant,Excellent,5
214,Guest 00214,Male,24-02-1988,20-04-2021,Business,Organization,4,9,Promoters,Variety of food,Restaurant,Average,2
215,Guest 00215,Male,09-07-2006,08-06-2020,Business,Internet advertisement,4,4,Detractors,Broadband & TV,Facility,Poor,1
216,Guest 00216,Female,06-04-1971,18-10-2020,Vacation,Television advertisement,5,6,Detractors,Gym,Facility,Excellent,5
217,Guest 00217,Female,10-10-1974,14-12-2021,Business,Organization,4,9,Promoters,Staff attitude,Staff,Very good,4
218,Guest 00218,Male,19-09-1986,21-06-2020,Business,Organization,1,9,Promoters,Check-in Process,Staff,Excellent,5
219,Guest 00219,Male,15-02-1967,13-09-2022,Function,Internet advertisement,3,10,Promoters,Room service,Room,Very good,4
220,Guest 00220,Male,31-07-1969,31-05-2020,Vacation,Word of mouth,5,7,Passives,Room cleanliness,Room,Poor,1
221,Guest 00221,Female,11-03-1954,17-12-2020,Business,Organization,3,8,Passives,Food quality,Restaurant,Very good,4
222,Guest 00222,Female,18-01-1956,02-07-2021,Function,Organization,5,5,Detractors,Variety of food,Restaurant,Average,2
223,Guest 00223,Male,11-10-1978,29-05-2022,Business,Organization,2,10,Promoters,Broadband & TV,Facility,Excellent,5
224,Guest 00224,Female,23-11-2003,01-10-2020,Business,hotel booking sites,5,7,Passives,Gym,Facility,Good,3
225,Guest 00225,Female,28-09-1951,10-10-2021,Business,Organization,2,6,Detractors,Staff attitude,Staff,Very good,4
226,Guest 00226,Male,05-04-1970,18-08-2021,Vacation,Search engine,4,9,Promoters,Check-in Process,Staff,Good,3
227,Guest 00227,Female,09-05-1960,09-08-2021,Function,hotel booking sites,4,6,Detractors,Room service,Room,Good,3
228,Guest 00228,Female,06-08-1969,17-11-2021,Business,Organization,5,7,Passives,Room cleanliness,Room,Average,2
229,Guest 00229,Male,18-09-2001,21-01-2021,Vacation,Word of mouth,2,8,Passives,Food quality,Restaurant,Excellent,5
230,Guest 00230,Female,28-11-1962,02-09-2020,Business,Organization,1,9,Promoters,Variety of food,Restaurant,Average,2
